,Liverpool Regionals,backend,,backend,backend,,,,,backend,backend,,"21-22 Jan 2023
487 players, 9 Swiss Rds, Top 32 Cut",backend,backend,Formula:,,Get Pokemon Stats!$C:$C,Get Pokemon Stats!$BW:$BW,Get Category SV!$Z:$Z,Get Category SV!$AA:$AA,,,,,,,,,,,,,,,Open Teamlists Link,,"Has
Image?",,,Stream Link,rk9labs all open teamlists: https://rk9.gg/roster/HmWfWFbzLDG5RVOedmuu,rk9),"Backend STEP 1 - Extract Mons, Edit Pokemon input here",,,,,,"STEP 1.1 - Extract Tera, Edit Tera input here",,,,,,,"STEP 1.2 - Extract Items, Edit Item input here",,,,,,,,,,,,,STEP 2 & 3 - Sort and Arrange Mons,,,,,,,,,,,,Final Arrangement,,,,,,,,,,,,,,,,,,,VR Naming Convention,,,,,,,Pokemon Text Form (VGCPastes),,,,,,,For Discord Channel,,Opponents in Each Round,,,,,,,,,,,,,,,,,
No.,Seed,D1 / D2,Swiss Record,Win,Loss,Country,C,Player,rk9 Labs Name,Romanised IGN,Name Notes,Gamer Tag,Twitter,Twitter Tag,LINK,,,,,,,,,,,,,,,,,,,CP,Prize,Pokepaste,EVs?,🖼,Team Report,Tweet,Stream Notes,Team/Source Notes,,Pokepaste Extract Input 1 - Pokemon,,Insert Paste!,San Diego Regionals Top 32 Team,,,Buffer,Pokepaste Extract Input 1 - Item,,,,,,Buffer,Pokepaste Extract Input 1 - Tera,,,,,,Update Primary Tera Type,,Get Pokemon Stats!$C:$C,Get Pokemon Stats!$H:$H,,,Source:,,Get Category SV!$B:$B,,,,Source:,,Get Category SV!$M:$M,,,,Final Pokemon 1,Tera,Final Item 1,Final Pokemon 2,Tera,Final Item 2,Final Pokemon 3,Tera,Final Item 3,Final Pokemon 4,Tera,Final Item 4,Final Pokemon 5,Tera,Final Item 5,Final Pokemon 6,Tera,Final Item 6,,Source:,,Get Category!$U:$U,,,,,,,,,,,,,,Round 1,Table No.,Round 2,Table No.,Round 3,Table No.,Round 4,Table No.,Round 5,Table No.,Round 6,Table No.,Round 7,Table No.,Round 8,Table No.,Round 9,Table No.
1,#23,Add,7 - 2,7,2,USA,,Luca Paz,Luca Paz,,,0-x in swiss,icebergvgc,icebergvgc,https://twitter.com/icebergvgc,,T,,,T,,,T,,,T,,,T,,,T,,200,"$3,000",https://pokepast.es/42995da010c4fe5f,Yes,https://victoryroadvgc.com/wp-content/uploads/2023/01/Liverpool-Luca-Paz-NS7X3P.jpg,-,https://twitter.com/icebergvgc/status/1617473841898323968,Stream Round 6 (W),"https://pokepast.es/40deac904c1c440f
https://pokepast.es/57050bbb3995b46d",,Gholdengo,Murkrow,Pawmot,Dragonite,Tatsugiri,Dondozo,,,,,,,,,,,,,,,,,,,,,7 Gholdengo,5 Murkrow,3 Pawmot,9 Dragonite,1 Tatsugiri,1 Dondozo,1 Dondozo,1 Tatsugiri,3 Pawmot,5 Murkrow,7 Gholdengo,9 Dragonite,Dondozo,,,Tatsugiri,,,Pawmot,,,Murkrow,,,Gholdengo,,,Dragonite,,,,,,,,,,,Dondozo,Tatsugiri,Pawmot,Murkrow,Gholdengo,Dragonite,,"Gholdengo, Murkrow, Pawmot, Dragonite, Tatsugiri, Dondozo",,christopher flory,188,Andrew Fairbrother,136,Francesco Mammucari,71,Alvaro Moras Sanchez-Seco,41,Eric Rios,23,François-Xavier de Lageneste,13,Julian Piñeiro Fernandez,11,Oliver Eskolin,11,Alex Gómez Berna,17
2,#5,Add,8 - 1,8,1,ESP,,Alex Soto,Alex Soto,,,LenVGC,LenVGC,LenVGC,https://twitter.com/LenVGC,,T,,,T,,,T,,,T,,,T,,,T,,160,"$2,000",https://pokepast.es/fe543331b9d9c9ee,Yes,https://pbs.twimg.com/media/FnPpWlyXgAA7NTg?format=jpg&name=large,-,https://twitter.com/LenVGC/status/1617234048413220865,Stream Round 8 (W),https://pokepast.es/b30f11e562dd205d,,Kingambit,Torkoal,Indeedee-F,Hatterene,Armarouge,Annihilape,,,,,,,,,,,,,,,,,,,,,7 Kingambit,0 Torkoal,5 Indeedee-F,8 Hatterene,0 Armarouge,4 Annihilape,0 Armarouge,0 Torkoal,4 Annihilape,5 Indeedee-F,7 Kingambit,8 Hatterene,Armarouge,,,Torkoal,,,Annihilape,,,Indeedee-F,,,Kingambit,,,Hatterene,,,,,,,,,,,Armarouge,Torkoal,Annihilape,Indeedee-F,Kingambit,Hatterene,,"Kingambit, Torkoal, Indeedee-F (Indeedee-Female), Hatterene, Armarouge, Annihilape",,Asra Stone,48,Arthur Glandier,49,Daniele Serini,30,Nico Davide Cognetta,24,Calvin Foster,15,Julian Piñeiro Fernandez,14,Taran Birdee,19,Francesco Pio Pero,12,Timo van der Vliet,16
3,#8,Add,8 - 1,8,1,ITA,,Francesco Pardini,Francesco Luigi Pardini,,,AlexisVGC,Alexis_Vgc,Alexis_Vgc,https://twitter.com/Alexis_Vgc,,T,,,T,,,T,,,T,,,T,,,T,,130,"$1,000",https://pokepast.es/2a2d0692ebbf2a47,No,https://pbs.twimg.com/media/FnEO60iWYAEi6y3?format=jpg&name=4096x4096,-,https://twitter.com/Alexis_Vgc/status/1617299310067998721,,https://pokepast.es/a91af3626470996e,,Dragapult,Gastrodon-East,Glimmora,Dragonite,Garganacl,Tauros-Paldea-Blaze,,,,,,,,,,,,,,,,,,,,,9 Dragapult,1 Gastrodon-East,4 Glimmora,9 Dragonite,4 Garganacl,0 Tauros-Paldea-Blaze,0 Tauros-Paldea-Blaze,1 Gastrodon-East,4 Garganacl,4 Glimmora,9 Dragapult,9 Dragonite,Tauros-Paldea-Blaze,,,Gastrodon-East,,,Garganacl,,,Glimmora,,,Dragapult,,,Dragonite,,,,,,,,,,,Tauros-Paldea-Blaze,Gastrodon-East,Garganacl,Glimmora,Dragapult,Dragonite,,"Dragapult, Gastrodon-East, Glimmora, Dragonite, Garganacl, Tauros-Paldea-Blaze",,Jack Marshall,31,Jamie Hunter,134,Lee King,52,Jonas Nienhüser,33,Robert Wein,66,Francisco Molina,27,David Conesa,33,Francesco Iozzia,20,Charlie Donnelly,15
4,#11,Add,7 - 2,7,2,DEU,,Faaiz Ashfaq,Faaiz Ashfaq,,,F/\$|$,FeisReis,FeisReis,https://twitter.com/FeisReis,,T,,,T,,,T,,,T,,,T,,,T,,130,"$1,000",https://pokepast.es/b7abf2006b34fdda,No,https://pbs.twimg.com/media/FnBN9viXoAIKs5V?format=jpg&name=4096x4096,https://twitter.com/FeisReis/status/1617184720642613250,https://twitter.com/FeisReis/status/1617173314132185088,Stream Round 7 (W),https://pokepast.es/1e33c4eebe3bf90a,,Tauros-Paldea-Blaze,Tatsugiri,Meowscarada,Glimmora,Gholdengo,Dondozo,,,,,,,,,,,,,,,,,,,,,0 Tauros-Paldea-Blaze,1 Tatsugiri,2 Meowscarada,4 Glimmora,7 Gholdengo,1 Dondozo,0 Tauros-Paldea-Blaze,1 Dondozo,1 Tatsugiri,2 Meowscarada,4 Glimmora,7 Gholdengo,Tauros-Paldea-Blaze,,,Dondozo,,,Tatsugiri,,,Meowscarada,,,Glimmora,,,Gholdengo,,,,,,,,,,,Tauros-Paldea-Blaze,Dondozo,Tatsugiri,Meowscarada,Glimmora,Gholdengo,,"Tauros-Paldea-Blaze, Tatsugiri, Meowscarada, Glimmora, Gholdengo, Dondozo",,Francisco Garví,185,Robert Wein,33,Aurélien Le Fur,81,Pontus Westerlund,28,Miguel Latorre,18,Miguel Martí de la Torre,10,Giovanni Piscitelli,12,Víctor Medina,10,Davide Carrer,10
5,#3,Add,8 - 1,8,1,AUT,,Kurt Wonka,Kurt Wonka,,,Lyon,LyonVGC,LyonVGC,https://twitter.com/LyonVGC,,T,,,T,,,T,,,T,,,T,,,T,,100,$500,https://pokepast.es/a68c5327c06f45e7,Yes,https://pbs.twimg.com/media/FnEuPwoXgAAu2Xv?format=jpg&name=4096x4096,-,https://twitter.com/LyonVGC/status/1618056652342820864,,,,Palafin,Pelipper,Dragonite,Gholdengo,Kingambit,Meowscarada,,,,,,,,,,,,,,,,,,,,,1 Palafin,1 Pelipper,9 Dragonite,7 Gholdengo,7 Kingambit,2 Meowscarada,1 Palafin,1 Pelipper,2 Meowscarada,7 Gholdengo,7 Kingambit,9 Dragonite,Palafin,,,Pelipper,,,Meowscarada,,,Gholdengo,,,Kingambit,,,Dragonite,,,,,,,,,,,Palafin,Pelipper,Meowscarada,Gholdengo,Kingambit,Dragonite,,"Palafin, Pelipper, Dragonite, Gholdengo, Kingambit, Meowscarada",,Marcos Matilla Cabello,247,David Conesa,103,Jason Muirhead,66,Daniel janah,34,Jai Small,14,Alejandro Ramos oliva,15,Adam Cherfaoui,9,Julian Piñeiro Fernandez,9,Víctor Medina,9
6,#16,Add,7 - 2,7,2,ITA,,Francesco P. Pero,Francesco Pio Pero,,,CICCIOTT,pero_francesco,pero_francesco,https://twitter.com/pero_francesco,,T,,,T,,,T,,,T,,,T,,,T,,100,$500,https://pokepast.es/2a535aece2ddba5d,No,https://pbs.twimg.com/media/FnBf81YWIAIz-e7?format=jpg&name=4096x4096,-,https://twitter.com/pero_francesco/status/1617138415396442117,Stream Round 8 (L),Same team as #6 Davide,,Dondozo,Tatsugiri-Stretchy,Arcanine,Meowscarada,Pawmot,Gholdengo,,,,,,,,,,,,,,,,,,,,,1 Dondozo,1 Tatsugiri-Stretchy,0 Arcanine,2 Meowscarada,3 Pawmot,7 Gholdengo,0 Arcanine,1 Dondozo,1 Tatsugiri-Stretchy,2 Meowscarada,3 Pawmot,7 Gholdengo,Arcanine,,,Dondozo,,,Tatsugiri-Stretchy,,,Meowscarada,,,Pawmot,,,Gholdengo,,,,,,,,,,,Arcanine,Dondozo,Tatsugiri-Stretchy,Meowscarada,Pawmot,Gholdengo,,"Dondozo, Tatsugiri-Stretchy, Arcanine, Meowscarada, Pawmot, Gholdengo",,Ashlee Wrathall,57,Josh McHale,71,Rayan GUEZI,62,Matthew Wong,130,Christos Santas,84,Jai Small,26,Sergio Sanchez,35,Alex Soto,12,Maurice Uteg,32
7,#18,Add,7 - 2,7,2,ITA,,Giovanni Piscitelli,Giovanni Piscitelli,,,Genius,GeniusVGC,GeniusVGC,https://twitter.com/GeniusVGC,,T,,,T,,,T,,,T,,,T,,,T,,100,$500,https://pokepast.es/c75ba546f837fdfc,Yes,https://victoryroadvgc.com/wp-content/uploads/2023/01/Liverpool-Claudio-Giandomenico-C8H3HL.jpg,https://twitter.com/GeniusVGC/status/1617165720818704385,https://twitter.com/GeniusVGC/status/1617166403701710850,Stream Round 7 (L),owner's paste,,Amoonguss,Mimikyu,Volcarona,Baxcalibur,Tauros-Paldea-Aqua,Kingambit,,,,,,,,,,,,,,,,,,,,,2 Amoonguss,8 Mimikyu,0 Volcarona,9 Baxcalibur,1 Tauros-Paldea-Aqua,7 Kingambit,0 Volcarona,1 Tauros-Paldea-Aqua,2 Amoonguss,7 Kingambit,8 Mimikyu,9 Baxcalibur,Volcarona,,,Tauros-Paldea-Aqua,,,Amoonguss,,,Kingambit,,,Mimikyu,,,Baxcalibur,,,,,,,,,,,Volcarona,Tauros-Paldea-Aqua,Amoonguss,Kingambit,Mimikyu,Baxcalibur,,"Amoonguss, Mimikyu, Volcarona, Baxcalibur, Tauros-Paldea-Aqua, Kingambit",,Tamao Takeda,120,Daniele Bianchi,53,Selahattin Sturm,29,Thomas Bacu,53,David Ridorsa Cáceres,13,Sean Parsons,11,Faaiz Ashfaq,12,Lauri Halonen,23,Alvaro Moras Sanchez-Seco,26
8,#29,,7 - 2,7,2,ITA,,Claudio Giandomenico,Claudio Giandomenico,,,Claudio,sircloudvgc,sircloudvgc,https://twitter.com/sircloudvgc,,T,,,T,,,T,,,T,,,T,,,T,,100,$500,https://pokepast.es/7279203df8352b1c,Yes,https://victoryroadvgc.com/wp-content/uploads/2023/01/Liverpool-Claudio-Giandomenico-C8H3HL.jpg,-,https://twitter.com/sircloudvgc/status/1617140531657674752,,recreated,,Dragonite,Murkrow,Volcarona,Tauros-Paldea-Aqua,Meowscarada,Gholdengo,,,,,,,,,,,,,,,,,,,,,9 Dragonite,5 Murkrow,0 Volcarona,1 Tauros-Paldea-Aqua,2 Meowscarada,7 Gholdengo,0 Volcarona,1 Tauros-Paldea-Aqua,2 Meowscarada,5 Murkrow,7 Gholdengo,9 Dragonite,Volcarona,,,Tauros-Paldea-Aqua,,,Meowscarada,,,Murkrow,,,Gholdengo,,,Dragonite,,,,,,,,,,,Volcarona,Tauros-Paldea-Aqua,Meowscarada,Murkrow,Gholdengo,Dragonite,,"Dragonite, Murkrow, Volcarona, Tauros-Paldea-Aqua, Meowscarada, Gholdengo",,Dj Carson,210,James Stace,87,Jose Miguel Creo,78,Francesco Iozzia,50,Sebastian Kempf,70,Oliver Eskolin,18,Filip Idczak,58,Giuseppe Musicco,48,Kevin Salvetto,23
9,#7,Add,8 - 1,8,1,FRA,,Rayan Guezi,Rayan GUEZI,,,Rayan,Mashazard,Mashazard,https://twitter.com/Mashazard,,T,,,T,,,T,,,T,,,T,,,T,,80,$250,https://pokepast.es/b94ffd540d9e29d0,No,-,-,-,,Same team as #2 Adam,,Amoonguss,Garchomp,Gholdengo,Azumarill,Skeledirge,Kilowattrel,,,,,,,,,,,,,,,,,,,,,2 Amoonguss,9 Garchomp,7 Gholdengo,1 Azumarill,0 Skeledirge,3 Kilowattrel,0 Skeledirge,1 Azumarill,2 Amoonguss,3 Kilowattrel,7 Gholdengo,9 Garchomp,Skeledirge,,,Azumarill,,,Amoonguss,,,Kilowattrel,,,Gholdengo,,,Garchomp,,,,,,,,,,,Skeledirge,Azumarill,Amoonguss,Kilowattrel,Gholdengo,Garchomp,,"Amoonguss, Garchomp, Gholdengo, Azumarill, Skeledirge, Kilowattrel",,David Coope,204,Sergio Sanchez,65,Francesco Pio Pero,62,Rebecca Dixon,29,Sean Parsons,20,Kevin Salvetto,38,Daniel janah,23,Anthony Liuzzo,14,Federico Camporesi,12
