,OCIC,,2023 OCIC,backend,backend,,,,FOR JIANG ⬇,backend,backend,,"17-19 Feb 2023, 282 Players
9 Swiss Rds, Top 32 Advance to Day 2, Top 8 Cut",backend,backend,Formula:,,Get Pokemon Stats!$C:$C,Get Pokemon Stats!$BW:$BW,Get Category SV!$Z:$Z,Get Category SV!$AA:$AA,,,,Victory Road Page Link,,,,,,Pikalytic Statistics,,,,,Open Teamlists Link,,"Has
Image?",,,Stream Link,,rk9 pairings,"Backend STEP 1 - Extract Mons, Edit Pokemon input here",,,,,,"STEP 1.1 - Extract Tera, Edit Tera input here",,,,,,,"STEP 1.2 - Extract Items, Edit Item input here",,,,,,,,,,,,,STEP 2 & 3 - Sort and Arrange Mons,,,,,,,,,,,,Final Arrangement,,,,,,,,,,,,,,,,,,,VR Naming Convention,,,,,,,Pokemon Text Form (VGCPastes),,,,,,,For Discord Channel,,,Opponents in Each Round,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seed,D1 Seed,D2 Seed,D2 Swiss Record,Win,Loss,Country,C,Player,rk9 Labs Name,Swiss Day 1 Record,rk9 country,Gamer Tag,Twitter,Twitter Tag,LINK,,,,,,,,,,,,,,,,,,,CP,Prize,Open Poképaste,EVs,🖼,Team Report,Tweet,Stream Notes,Team/Source Notes,,Pokepaste Extract Input 1 - Pokemon,,Insert Paste!,San Diego Regionals Top 32 Team,,,Buffer,Pokepaste Extract Input 1 - Item,,,,,,Buffer,Pokepaste Extract Input 1 - Tera,,,,,,Update Primary Tera Type,,Get Pokemon Stats!$C:$C,Get Pokemon Stats!$H:$H,,,Source:,,Get Category SV!$B:$B,,,,Source:,,Get Category SV!$M:$M,,,,Final Pokemon 1,Tera,Final Item 1,Final Pokemon 2,Tera,Final Item 2,Final Pokemon 3,Tera,Final Item 3,Final Pokemon 4,Tera,Final Item 4,Final Pokemon 5,Tera,Final Item 5,Final Pokemon 6,Tera,Final Item 6,,Source:,,Get Category!$U:$U,,,,,,,,,,,,,,START,Round 1,Table No.,Rd 1 score,Admin,W/L,Round 2,Table No.,Rd 2 score,Admin,W/L,Round 3,Table No.,Rd 3 score,Admin,W/L,Round 4,Table No.,Rd 4 score,Admin,W/L,Round 5,Table No.,Rd 5 score,Admin,W/L,Round 6,Table No.,Rd 6 score,Admin,W/L,Round 7,Table No.,Rd 7 score,Admin,W/L,Round 8,Table No.,Rd 8 score,Admin,W/L,Round 9,Table No.,Rd 9 score,Admin,W/L,Round 10,Table No.,Rd 10 score,Admin,W/L,Round 11,Table No.,Rd 11 score,Admin,W/L,Round 12,Table No.,Rd 12 score,Admin,W/L,Round 13,Table No.,Rd 13 score,Admin,W/L,Round 14,Table No.,Rd 14 score,Admin,W/L
1,#1,#4,11 - 3,11,3,USA,,Gavin Michaels,Gavin Michaels,8 - 1,US,HUH?!!,komvgc,komvgc,https://twitter.com/komvgc,,,Mystic Water,,,Focus Sash,,,Sitrus Berry,,,Assault Vest,,,Dragon Fang,,,Lum Berry,500,"$5,000",https://pokepast.es/5c46f9ec443664cb,Yes,https://victoryroadvgc.com/wp-content/uploads/2023/02/OCIC-Gavin-Michaels-MNJDG5.jpg,https://youtu.be/QmCzvVIKyG0,https://twitter.com/komvgc/status/1627829243546828800,"Stream Round 3 (W)
Stream Round 10 (W)",,,Amoonguss,Dragonite,Iron Hands,Pelipper,Baxcalibur,Palafin,,Sitrus Berry,Lum Berry,Assault Vest,Focus Sash,Dragon Fang,Mystic Water,,Steel,Flying,Grass,Flying,Poison,Water,Steel,Flying,Grass,Flying,Poison,Water,2 Amoonguss,9 Dragonite,4 Iron Hands,1 Pelipper,9 Baxcalibur,1 Palafin,1 Palafin,1 Pelipper,2 Amoonguss,4 Iron Hands,9 Baxcalibur,9 Dragonite,Palafin,Water,Mystic Water,Pelipper,Flying,Focus Sash,Amoonguss,Steel,Sitrus Berry,Iron Hands,Grass,Assault Vest,Baxcalibur,Poison,Dragon Fang,Dragonite,Flying,Lum Berry,,,,,,,,,Palafin,Pelipper,Amoonguss,Iron Hands,Baxcalibur,Dragonite,,"Amoonguss, Dragonite, Iron Hands, Pelipper, Baxcalibur, Palafin",,0,Zack Smith,121,1-0,1,Win,Michael Navas,22,2-0,2,Win,Ben Madigan,12,3-0,3,Win,Tony Nguyen,18,4-0,4,Win,Taran Birdee,8,5-0,5,Win,Fred Zhou,1,6-0,6,Win,Yuki Munekata Zaninovich,1,7-0,7,Win,MASAYOSHI KUROO,1,8-0,8,Win,Thomas Gravouille,1,8-1,8,Loss,Yuki Munekata Zaninovich,3,9-1,9,Win,Aurélien Soula,1,10-1,10,Win,Collin Heier,1,11-1,11,Win,Raghav Malaviya,1,11-2,11,Loss,Thomas Gravouille,2,11-3,11,Loss
2,#15,#7,11 - 3,11,3,USA,,Alberto Lara,Alberto Lara,7 - 2,US,Alberto,Alberto310,Alberto310,https://twitter.com/Alberto310,,,Leftovers,,,Covert Cloak,,,Sitrus Berry,,,Light Clay,,,Choice Scarf,,,Booster Energy,400,"$2,500",https://pokepast.es/306eacdf0f3789b3,No,-,-,https://twitter.com/Alberto310/status/1627205586772430850,Stream Round 13 (W),Info from Nails,,Roaring Moon,Corviknight,Volcarona,Klefki,Garchomp,Iron Bundle,,Booster Energy,Sitrus Berry,Leftovers,Light Clay,Choice Scarf,Covert Cloak,,Flying,Dragon,Grass,Ghost,Ground,Ice,Flying,Dragon,Grass,Ghost,Ground,Ice,9 Roaring Moon,7 Corviknight,0 Volcarona,8 Klefki,9 Garchomp,1 Iron Bundle,0 Volcarona,1 Iron Bundle,7 Corviknight,8 Klefki,9 Garchomp,9 Roaring Moon,Volcarona,Grass,Leftovers,Iron Bundle,Ice,Covert Cloak,Corviknight,Dragon,Sitrus Berry,Klefki,Ghost,Light Clay,Garchomp,Ground,Choice Scarf,Roaring Moon,Flying,Booster Energy,,,,,,,,,Volcarona,Iron Bundle,Corviknight,Klefki,Garchomp,Roaring Moon,,"Roaring Moon, Corviknight, Volcarona, Klefki, Garchomp, Iron Bundle",,0,Tayla-Jane Lovett,16,1-0,1,Win,Yuki Munekata Zaninovich,37,1-1,1,Loss,Emery Joseph,105,2-1,2,Win,Tasman Permezel,61,3-1,3,Win,Kimo Nishimura,30,4-1,4,Win,Nick Navarre,14,4-2,4,Loss,Marco Hemantha Kaludura Silva,24,5-2,5,Win,Cheong Suwoong,14,6-2,6,Win,Taran Birdee,20,7-2,7,Win,MASAYOSHI KUROO,7,8-2,8,Win,Giulio Tarlao,7,8-3,8,Loss,Aurélien Soula,5,9-3,9,Win,Sam Pandelis,6,10-3,10,Win,ALEX UNDERHILL,4,11-3,11,Win
3,#13,#1,12 - 2,12,2,JPN,,Yuya Tada,Yuya Tada,7 - 2,JP,ヒフミ,YTpublic,YTpublic,https://twitter.com/YTpublic,,,Safety Goggles,,,Booster Energy,,,Leftovers,,,Choice Scarf,,,Life Orb,,,Choice Band,320,"$1,500",https://pokepast.es/1206f4646b3bea91,Yes,https://pbs.twimg.com/media/FpPQbHhakAIvEm0?format=jpg&name=900x900,-,https://twitter.com/YTpublic/status/1626840013966299138,Stream Round 11 (W),Info from stalruth,,Tatsugiri,Flutter Mane,Arcanine,Dondozo,Dragonite,Iron Moth,,Choice Scarf,Life Orb,Safety Goggles,Leftovers,Choice Band,Booster Energy,,Steel,Grass,Normal,Steel,Normal,Grass,Steel,Grass,Normal,Steel,Normal,Grass,1 Tatsugiri,8 Flutter Mane,0 Arcanine,1 Dondozo,9 Dragonite,0 Iron Moth,0 Arcanine,0 Iron Moth,1 Dondozo,1 Tatsugiri,8 Flutter Mane,9 Dragonite,Arcanine,Normal,Safety Goggles,Iron Moth,Grass,Booster Energy,Dondozo,Steel,Leftovers,Tatsugiri,Steel,Choice Scarf,Flutter Mane,Grass,Life Orb,Dragonite,Normal,Choice Band,,,,,,,,,Arcanine,Iron Moth,Dondozo,Tatsugiri,Flutter Mane,Dragonite,,"Tatsugiri, Flutter Mane, Arcanine, Dondozo, Dragonite, Iron Moth",,0,Caleb Tancred,128,1-0,1,Win,Peter Nguyen,19,2-0,2,Win,Ho Hong Chau,32,3-0,3,Win,siming PAN,5,4-0,4,Win,Fred Zhou,9,4-1,4,Loss,Liam Gilbert,25,5-1,5,Win,Taran Birdee,10,6-1,6,Win,Joseph Ugarte,3,7-1,7,Win,ALEX UNDERHILL,5,7-2,7,Loss,Alex Donaldson,5,8-2,8,Win,Jesse Beard,3,9-2,9,Win,ALEX UNDERHILL,2,10-2,10,Win,Collin Heier,2,11-2,11,Win,Alfredo Chang-Gonzalez,1,12-2,12,Win
4,#14,#6,11 - 3,11,3,IND,,Raghav Malaviya,Raghav Malaviya,7 - 2,US,ragi,raghavmalaviya,raghavmalaviya,https://twitter.com/raghavmalaviya,,,Sitrus Berry,,,Focus Sash,,,Assault Vest,,,Safety Goggles,,,Covert Cloak,,,Booster Energy,320,"$1,500",https://pokepast.es/faa1127c4292d860,Yes,https://victoryroadvgc.com/wp-content/uploads/2023/03/OCIC-Raghav-Malaviya-5T9JDY.jpg,https://youtu.be/_u5O8nVZmBk,https://twitter.com/raghavmalaviya/status/1627084286439612417,,Info from stalruth: rk9 bundle hands roaring moon,,Arcanine,Iron Bundle,Iron Hands,Gholdengo,Maushold,Roaring Moon,,Sitrus Berry,Focus Sash,Assault Vest,Covert Cloak,Safety Goggles,Booster Energy,,Grass,Ghost,Grass,Water,Ghost,Flying,Grass,Ghost,Grass,Water,Ghost,Flying,0 Arcanine,1 Iron Bundle,4 Iron Hands,7 Gholdengo,5 Maushold,9 Roaring Moon,0 Arcanine,1 Iron Bundle,4 Iron Hands,5 Maushold,7 Gholdengo,9 Roaring Moon,Arcanine,Grass,Sitrus Berry,Iron Bundle,Ghost,Focus Sash,Iron Hands,Grass,Assault Vest,Maushold,Ghost,Safety Goggles,Gholdengo,Water,Covert Cloak,Roaring Moon,Flying,Booster Energy,,,,,,,,,Arcanine,Iron Bundle,Iron Hands,Maushold,Gholdengo,Roaring Moon,,"Arcanine, Iron Bundle, Iron Hands, Gholdengo, Maushold, Roaring Moon",,0,Francesco Rasini,111,0-1,0,Loss,Mark Murray,107,1-1,1,Win,Ryosuke Kondo,101,2-1,2,Win,Shaun Chesterman,57,3-1,3,Win,Brendan Webb,28,4-1,4,Win,Sam Pandelis,21,5-1,5,Win,YOICHIRO KUROGI,5,6-1,6,Win,Genting Liu,6,7-1,7,Win,Aurélien Soula,4,7-2,7,Loss,Fred Zhou,6,8-2,8,Win,Haotian Xiao,8,9-2,9,Win,Eric Rios,3,10-2,10,Win,Gavin Michaels,1,11-2,11,Win,Chuppa Cross IV,3,11-3,11,Loss
5,#6,#2,11 - 3,11,3,USA,,Collin Heier,Collin Heier,8 - 1,US,Crown,BattleRoom,BattleRoom,https://twitter.com/BattleRoom,,,Booster Energy,,,Focus Sash,,,Safety Goggles,,,Assault Vest,,,Choice Specs,,,Lum Berry,250,"$1,000",https://pokepast.es/a48596d55f2cfa6f,No,-,-,https://twitter.com/BattleRoom/status/1626792849231740929,Stream Round 8 (W),Maushold-FOUR,,Dragonite,Maushold,Flutter Mane,Kingambit,Great Tusk,Iron Bundle,,Lum Berry,Safety Goggles,Choice Specs,Assault Vest,Focus Sash,Booster Energy,,Flying,Ghost,Steel,Flying,Ground,Ice,Flying,Ghost,Steel,Flying,Ground,Ice,9 Dragonite,5 Maushold,8 Flutter Mane,7 Kingambit,4 Great Tusk,1 Iron Bundle,1 Iron Bundle,4 Great Tusk,5 Maushold,7 Kingambit,8 Flutter Mane,9 Dragonite,Iron Bundle,Ice,Booster Energy,Great Tusk,Ground,Focus Sash,Maushold,Ghost,Safety Goggles,Kingambit,Flying,Assault Vest,Flutter Mane,Steel,Choice Specs,Dragonite,Flying,Lum Berry,,,,,,,,,Iron Bundle,Great Tusk,Maushold,Kingambit,Flutter Mane,Dragonite,,"Dragonite, Maushold, Flutter Mane, Kingambit, Great Tusk, Iron Bundle",,0,YOICHIRO KUROGI,115,0-1,0,Loss,Brendan Wright,120,1-1,1,Win,Thomas Leask,46,2-1,2,Win,Aidan Warnakulasuriya,65,3-1,3,Win,Eduardo Abrego,32,4-1,4,Win,Brady Hilyear,6,5-1,5,Win,Hoang Dat Luong,6,6-1,6,Win,Eric Rios,2,7-1,7,Win,MASAYOSHI KUROO,2,8-1,8,Win,ALEX UNDERHILL,1,9-1,9,Win,Zackary Thornberg,2,10-1,10,Win,Gavin Michaels,1,10-2,10,Loss,Yuya Tada,2,10-3,10,Loss,Aurélien Soula,5,11-3,11,Win
6,#18,#3,11 - 3,11,3,AUS,,Alfredo Chang-Gonzalez,Alfredo Chang-Gonzalez,7 - 2,AU,Chino,chinovgc,chinovgc,https://twitter.com/chinovgc,,,Life Orb,,,Booster Energy,,,Focus Sash,,,Psychic Seed,,,Choice Specs,,,Safety Goggles,250,"$1,000",https://pokepast.es/812203e977b7d717,Yes,https://victoryroadvgc.com/wp-content/uploads/2023/03/OCIC-Alfredo-Chang-Gonzalez-FRGJHC.jpg,https://youtu.be/Bj69RhYePhY,https://twitter.com/ChinoVGC/status/1627550506922147841,Stream Round 12 (W),"Info from Luke Milligan, Indee, Arma, Flutter, Info from Baek",,Armarouge,Iron Bundle,Flutter Mane,Hydreigon,Indeedee-F,Great Tusk,,Life Orb,Booster Energy,Choice Specs,Safety Goggles,Psychic Seed,Focus Sash,,Grass,Ghost,Fairy,Psychic,Fairy,Ground,Grass,Ghost,Fairy,Psychic,Fairy,Ground,0 Armarouge,1 Iron Bundle,8 Flutter Mane,9 Hydreigon,5 Indeedee-F,4 Great Tusk,0 Armarouge,1 Iron Bundle,4 Great Tusk,5 Indeedee-F,8 Flutter Mane,9 Hydreigon,Armarouge,Grass,Life Orb,Iron Bundle,Ghost,Booster Energy,Great Tusk,Ground,Focus Sash,Indeedee-F,Fairy,Psychic Seed,Flutter Mane,Fairy,Choice Specs,Hydreigon,Psychic,Safety Goggles,,,,,,,,,Armarouge,Iron Bundle,Great Tusk,Indeedee-F,Flutter Mane,Hydreigon,,"Armarouge, Iron Bundle, Flutter Mane, Hydreigon, Indeedee-F (Indeedee-Female), Great Tusk",,0,Lingdi Lu,140,1-0,1,Win,Kikuta Keisuke,40,2-0,2,Win,Celine Grima,25,3-0,3,Win,Haotian Xiao,16,4-0,4,Win,Asra Stone,7,4-1,4,Loss,Luke Milligan,8,5-1,5,Win,Aurélien Soula,9,5-2,5,Loss,YiFei Ruan,11,6-2,6,Win,Matthew Robinson,8,7-2,7,Win,Sam Pandelis,4,8-2,8,Win,Yuki Munekata Zaninovich,5,9-2,9,Win,Giulio Tarlao,4,10-2,10,Win,Eric Rios,3,11-2,11,Win,Yuya Tada,1,11-3,11,Loss
7,#22,#5,11 - 3,11,3,USA,,Chuppa Cross IV,Chuppa Cross,7 - 2,US,Chuppa*Cross,ChuppaVGC,ChuppaVGC,https://twitter.com/ChuppaVGC,,,Safety Goggles,,,Covert Cloak,,,Leftovers,,,Choice Scarf,,,Focus Sash,,,Choice Specs,250,"$1,000",https://pokepast.es/e6d2e7b30852cfc5,Yes,https://pbs.twimg.com/media/FpmyYPuaIAEZWK6?format=jpg&name=large,-,https://twitter.com/ChuppaVGC/status/1628528888531017730,,Info from Nails and Olymak,,Arcanine,Pawmot,Dondozo,Talonflame,Gholdengo,Tatsugiri,,Safety Goggles,Focus Sash,Leftovers,Covert Cloak,Choice Specs,Choice Scarf,,Dark,Electric,Steel,Ghost,Steel,Water,Dark,Electric,Steel,Ghost,Steel,Water,0 Arcanine,3 Pawmot,1 Dondozo,0 Talonflame,7 Gholdengo,1 Tatsugiri,0 Arcanine,0 Talonflame,1 Dondozo,1 Tatsugiri,3 Pawmot,7 Gholdengo,Arcanine,Dark,Safety Goggles,Talonflame,Ghost,Covert Cloak,Dondozo,Steel,Leftovers,Tatsugiri,Water,Choice Scarf,Pawmot,Electric,Focus Sash,Gholdengo,Steel,Choice Specs,,,,,,,,,Arcanine,Talonflame,Dondozo,Tatsugiri,Pawmot,Gholdengo,,"Arcanine, Pawmot, Dondozo, Talonflame, Gholdengo, Tatsugiri",,0,Nick Navarre,66,0-1,0,Loss,Billy Stanley,95,1-1,1,Win,Chris Lee,43,2-1,2,Win,Graham Amedee,53,3-1,3,Win,Francesco Rasini,27,4-1,4,Win,Chongjun Peng,13,5-1,5,Win,Vivek Arunagiri,16,6-1,6,Win,Yuki Munekata Zaninovich,7,6-2,6,Loss,Andy Brophy,10,7-2,7,Win,Eric Rios,10,7-3,7,Loss,MASAYOSHI KUROO,13,8-3,8,Win,Zackary Thornberg,9,9-3,9,Win,Stefan Mott,5,10-3,10,Win,Raghav Malaviya,3,11-3,11,Win
8,#3,#8,11 - 3,11,3,FRA,,Thomas Gravouille,Thomas Gravouille,8 - 1,FR,Hari,HariPKMN,HariPKMN,https://twitter.com/HariPKMN,,,Assault Vest,,,Focus Sash,,,Leftovers,,,Safety Goggles,,,Throat Spray,,,Booster Energy,250,"$1,000",https://pokepast.es/0ce4166fce375dcc,No,https://pbs.twimg.com/media/FpOtaUOakAIr_6F?format=jpg&name=large,-,https://twitter.com/HariPKMN/status/1626822885246488576,,Info from stalruth,,Roaring Moon,Arcanine,Maushold,Iron Bundle,Annihilape,Sylveon,,Booster Energy,Assault Vest,Safety Goggles,Focus Sash,Leftovers,Throat Spray,,Fairy,Fairy,Ghost,Ghost,Fire,Water,Fairy,Fairy,Ghost,Ghost,Fire,Water,9 Roaring Moon,0 Arcanine,5 Maushold,1 Iron Bundle,4 Annihilape,8 Sylveon,0 Arcanine,1 Iron Bundle,4 Annihilape,5 Maushold,8 Sylveon,9 Roaring Moon,Arcanine,Fairy,Assault Vest,Iron Bundle,Ghost,Focus Sash,Annihilape,Fire,Leftovers,Maushold,Ghost,Safety Goggles,Sylveon,Water,Throat Spray,Roaring Moon,Fairy,Booster Energy,,,,,,,,,Arcanine,Iron Bundle,Annihilape,Maushold,Sylveon,Roaring Moon,,"Roaring Moon, Arcanine, Maushold, Iron Bundle, Annihilape, Sylveon",,0,Jack Roth,19,1-0,1,Win,Brady Worley,56,2-0,2,Win,Thomas Dowling,1,3-0,3,Win,Taran Birdee,17,3-1,3,Loss,Jesse Beard,15,4-1,4,Win,Marco Hemantha Kaludura Silva,23,5-1,5,Win,Ben Madigan,11,6-1,6,Win,Fred Zhou,5,7-1,7,Win,Gavin Michaels,1,8-1,8,Win,Aurélien Soula,2,8-2,8,Loss,ALEX UNDERHILL,4,8-3,8,Loss,Meaghan Rattle,11,9-3,9,Win,Giulio Tarlao,7,10-3,10,Win,Gavin Michaels,2,11-3,11,Win
9,#4,#9,10 - 4,10,4,USA,,Alex Underhill,ALEX UNDERHILL,8 - 1,US,Lexicon,LexiconVGC,LexiconVGC,https://twitter.com/LexiconVGC,,,Safety Goggles,,,Covert Cloak,,,Choice Specs,,,Focus Sash,,,Assault Vest,,,Booster Energy,200,$750,https://pokepast.es/8ef1f8710cdd8bb5,Yes,-,-,https://twitter.com/LexiconVGC/status/1630285792747593731,Stream Round 6 (L),Same team as Burns,,Kingambit,Great Tusk,Talonflame,Glimmora,Flutter Mane,Iron Bundle,,Assault Vest,Focus Sash,Safety Goggles,Choice Specs,Booster Energy,Covert Cloak,,Flying,Ground,Ghost,Grass,Steel,Ice,Flying,Ground,Ghost,Grass,Steel,Ice,7 Kingambit,4 Great Tusk,0 Talonflame,4 Glimmora,8 Flutter Mane,1 Iron Bundle,0 Talonflame,1 Iron Bundle,4 Glimmora,4 Great Tusk,7 Kingambit,8 Flutter Mane,Talonflame,Ghost,Safety Goggles,Iron Bundle,Ice,Covert Cloak,Glimmora,Grass,Choice Specs,Great Tusk,Ground,Focus Sash,Kingambit,Flying,Assault Vest,Flutter Mane,Steel,Booster Energy,,,,,,,,,Talonflame,Iron Bundle,Glimmora,Great Tusk,Kingambit,Flutter Mane,,"Kingambit, Great Tusk, Talonflame, Glimmora, Flutter Mane, Iron Bundle",,0,Amelia Nyunt-Stephens,54,1-0,1,Win,Jude Nield,60,2-0,2,Win,Brady Hilyear,27,3-0,3,Win,Guillermo Castilla,7,4-0,4,Win,Alister Sandover,1,5-0,5,Win,Stefan Mott,2,5-1,5,Loss,Calvin Foster,4,6-1,6,Win,Alex Donaldson,8,7-1,7,Win,Yuya Tada,5,8-1,8,Win,Collin Heier,1,8-2,8,Loss,Thomas Gravouille,4,9-2,9,Win,Yuya Tada,2,9-3,9,Loss,Jesse Beard,4,10-3,10,Win,Alberto Lara,4,10-4,10,Loss
