,Orlando Regionals,backend,,backend,backend,,,,,backend,backend,,"4-5 Feb 2023
780 players, 10 Swiss Rds, Top 32 Cut",backend,backend,Formula:,,Get Pokemon Stats!$C:$C,Get Pokemon Stats!$BW:$BW,Get Category SV!$Z:$Z,Get Category SV!$AA:$AA,,,,Victory Road Page Link,,,,,,Pikalytic Statistics,,,,,Open Teamlists Link,,"Has
Image?",,,Stream Link,,rk9),"Backend STEP 1 - Extract Mons, Edit Pokemon input here",,,,,,"STEP 1.1 - Extract Tera, Edit Tera input here",,,,,,,"STEP 1.2 - Extract Items, Edit Item input here",,,,,,,,,,,,,STEP 2 & 3 - Sort and Arrange Mons,,,,,,,,,,,,Final Arrangement,,,,,,,,,,,,,,,,,,,VR Naming Convention,,,,,,,Pokemon Text Form (VGCPastes),,,,,,,For Discord Channel,,Opponents in Each Round,,,,,,,,,,,,,,,,,,,
No.,Seed,D1 / D2,Swiss Record,Win,Loss,Country,C,Player,rk9 Labs Name,Romanised IGN,Name Notes,Gamer Tag,Twitter,Twitter Tag,LINK,,,,,,,,,,,,,,,,,,,CP,Prize,rk9labs Link,Pokepaste,🖼,Team Report,Tweet,Stream Notes,Team/Source Notes,,Pokepaste Extract Input 1 - Pokemon,,Insert Paste!,San Diego Regionals Top 32 Team,,,Buffer,Pokepaste Extract Input 1 - Item,,,,,,Buffer,Pokepaste Extract Input 1 - Tera,,,,,,Update Primary Tera Type,,Get Pokemon Stats!$C:$C,Get Pokemon Stats!$H:$H,,,Source:,,Get Category SV!$B:$B,,,,Source:,,Get Category SV!$M:$M,,,,Final Pokemon 1,Tera,Final Item 1,Final Pokemon 2,Tera,Final Item 2,Final Pokemon 3,Tera,Final Item 3,Final Pokemon 4,Tera,Final Item 4,Final Pokemon 5,Tera,Final Item 5,Final Pokemon 6,Tera,Final Item 6,,Source:,,Get Category!$U:$U,,,,,,,,,,,,,,Round 1,Table No.,Round 2,Table No.,Round 3,Table No.,Round 4,Table No.,Round 5,Table No.,Round 6,Table No.,Round 7,Table No.,Round 8,Table No.,Round 9,Table No.,Round 10,Table No.
1,#9,Yes,8 - 2,8,2,USA,,Wolfe Glick,Wolfe Glick,,,Wolfey,WolfeyGlick,WolfeyGlick,https://twitter.com/WolfeyGlick,,,Safety Goggles,,,Mystic Water,,,Mental Herb,,,Sitrus Berry,,,Focus Sash,,,Booster Energy,200,"$3,000",View,https://pokepast.es/c98aa7dcde99b278,https://pbs.twimg.com/media/FoPlWkMaMAI2LId?format=jpg&name=large,https://youtu.be/s6qK5QpzOb4,https://twitter.com/WolfeyGlick/status/1622330806738817025,Stream Round 4 (L),"Paste is Wolfe's personal paste
Team Report is Cybertron's video (for now)",,Scream Tail,Flutter Mane,Gothitelle,Amoonguss,Palafin,Arcanine,,Booster Energy,Focus Sash,Sitrus Berry,Mental Herb,Mystic Water,Safety Goggles,,Steel,Grass,Water,Dark,Water,Water,Steel,Grass,Water,Dark,Water,Water,8 Scream Tail,8 Flutter Mane,6 Gothitelle,2 Amoonguss,1 Palafin,0 Arcanine,0 Arcanine,1 Palafin,2 Amoonguss,6 Gothitelle,8 Flutter Mane,8 Scream Tail,Arcanine,Water,Safety Goggles,Palafin,Water,Mystic Water,Amoonguss,Dark,Mental Herb,Gothitelle,Water,Sitrus Berry,Flutter Mane,Grass,Focus Sash,Scream Tail,Steel,Booster Energy,,,,,,,,,Arcanine,Palafin,Amoonguss,Gothitelle,Flutter Mane,Scream Tail,,"Scream Tail, Flutter Mane, Gothitelle, Amoonguss, Palafin, Arcanine",,Aaron Brok,373,Kyle Morris,30,Danish Ali,73,Chongjun Peng,42,Jo Arai,46,Brent Caughey,13,Brandon Tuchtenhagen,38,Nick Navarre,12,Michael D'Angelo,19,Benji Carney,27
2,#14,Yes,8 - 2,8,2,USA,,Ashton Cox,Ashton Cox,,,Ash *,AshtonCoxGAZ,AshtonCoxGAZ,https://twitter.com/AshtonCoxGAZ,,,Chesto Berry,,,Choice Scarf,,,Sitrus Berry,,,Assault Vest,,,Choice Specs,,,Booster Energy,160,"$2,000",View,https://pokepast.es/8b4db17410d75589,No EVs,-,https://twitter.com/AshtonCoxGAZ/status/1622335416744435712,,,,Tatsugiri-Droopy,Roaring Moon,Dondozo,Iron Hands,Gholdengo,Brute Bonnet,,Choice Scarf,Booster Energy,Chesto Berry,Assault Vest,Choice Specs,Sitrus Berry,,Steel,Flying,Steel,Grass,Steel,Water,Steel,Flying,Steel,Grass,Steel,Water,1 Tatsugiri-Droopy,9 Roaring Moon,1 Dondozo,4 Iron Hands,7 Gholdengo,2 Brute Bonnet,1 Dondozo,1 Tatsugiri-Droopy,2 Brute Bonnet,4 Iron Hands,7 Gholdengo,9 Roaring Moon,Dondozo,Steel,Chesto Berry,Tatsugiri-Droopy,Steel,Choice Scarf,Brute Bonnet,Water,Sitrus Berry,Iron Hands,Grass,Assault Vest,Gholdengo,Steel,Choice Specs,Roaring Moon,Flying,Booster Energy,,,,,,,,,Dondozo,Tatsugiri-Droopy,Brute Bonnet,Iron Hands,Gholdengo,Roaring Moon,,"Tatsugiri-Droopy, Roaring Moon, Dondozo, Iron Hands, Gholdengo, Brute Bonnet",,Pierre Castro,340,Kevin Salvetto,105,Lev Willey,256,Denis Espinoza,128,Baby Singh,47,Grayson DeWolfe,63,Foster Hughes,9,Marcus Dion,16,juan guzman,24,Zackary Thornberg,8
3,#12,Yes,8 - 2,8,2,USA,,James Evans,James Evans,,,James,TheKingVillager,TheKingVillager,https://twitter.com/TheKingVillager,,,Booster Energy,,,Life Orb,,,Assault Vest,,,Wiki Berry,,,Throat Spray,,,Lum Berry,130,"$1,000",View,https://pokepast.es/94f3b616ba138dc6,No EVs,-,https://twitter.com/TheKingVillager/status/1622428851606360065,,,,Great Tusk,Sylveon,Gothitelle,Iron Bundle,Dragonite,Tyranitar,,Life Orb,Throat Spray,Wiki Berry,Booster Energy,Lum Berry,Assault Vest,,Ground,Fire,Dark,Ghost,Flying,Flying,Ground,Fire,Dark,Ghost,Flying,Flying,4 Great Tusk,8 Sylveon,6 Gothitelle,1 Iron Bundle,9 Dragonite,4 Tyranitar,1 Iron Bundle,4 Great Tusk,4 Tyranitar,6 Gothitelle,8 Sylveon,9 Dragonite,Iron Bundle,Ghost,Booster Energy,Great Tusk,Ground,Life Orb,Tyranitar,Flying,Assault Vest,Gothitelle,Dark,Wiki Berry,Sylveon,Fire,Throat Spray,Dragonite,Flying,Lum Berry,,,,,,,,,Iron Bundle,Great Tusk,Tyranitar,Gothitelle,Sylveon,Dragonite,,"Great Tusk, Sylveon, Gothitelle, Iron Bundle, Dragonite, Tyranitar",,felipe molino,201,Walter Morales,39,Darius Lamonte,88,Patrick Connors,34,Arbin Tumaneng,21,Nathan Ortiz,2,Jonathan Melendez,25,Chongjun Peng,71,Jakob Swilley,28,Jonathan Quiñones,28
4,#31,Yes,8 - 2,8,2,USA,,Chuppa Cross IV,Chuppa Cross,,,Chuppa*Cross,ChuppaVGC,ChuppaVGC,https://twitter.com/ChuppaVGC,,,Covert Cloak,,,Leftovers,,,Choice Scarf,,,Sitrus Berry,,,Focus Sash,,,Choice Specs,130,"$1,000",View,https://pokepast.es/baac1c65eeab294c,No EVs,-,https://twitter.com/ChuppaVGC/status/1622332975017861120,,,,Dondozo,Tatsugiri,Talonflame,Pawmot,Brute Bonnet,Gholdengo,,Leftovers,Choice Scarf,Covert Cloak,Focus Sash,Sitrus Berry,Choice Specs,,Dragon,Water,Ghost,Electric,Fairy,Steel,Dragon,Water,Ghost,Electric,Fairy,Steel,1 Dondozo,1 Tatsugiri,0 Talonflame,3 Pawmot,2 Brute Bonnet,7 Gholdengo,0 Talonflame,1 Dondozo,1 Tatsugiri,2 Brute Bonnet,3 Pawmot,7 Gholdengo,Talonflame,Ghost,Covert Cloak,Dondozo,Dragon,Leftovers,Tatsugiri,Water,Choice Scarf,Brute Bonnet,Fairy,Sitrus Berry,Pawmot,Electric,Focus Sash,Gholdengo,Steel,Choice Specs,,,,,,,,,Talonflame,Dondozo,Tatsugiri,Brute Bonnet,Pawmot,Gholdengo,,"Dondozo, Tatsugiri, Talonflame, Pawmot, Brute Bonnet, Gholdengo",,Glenroy Riley,358,Spencer Gentry,91,Dylan Cragle,54,Bhushan Thumsi,24,MacKenzie Fennell,53,Carson Confer,68,Jariss George,107,Sean Pandolfo,37,Meg Walls,51,Dominique Johnson,26
5,#1,Yes,10 - 0,10,0,USA,,Emilio Forbes,Emilio Forbes,,,Emily,gazemilyy,gazemilyy,https://twitter.com/gazemilyy,,,Covert Cloak,,,Booster Energy,,,Choice Specs,,,Focus Sash,,,Assault Vest,,,Life Orb,100,$500,View,https://pokepast.es/d0f80aefa86e698d,No EVs,-,https://twitter.com/gazemilyy/status/1622334481574072322,Stream Round 7 (W),,,Great Tusk,Talonflame,Iron Bundle,Flutter Mane,Kingambit,Glimmora,,Focus Sash,Covert Cloak,Booster Energy,Life Orb,Assault Vest,Choice Specs,,Ground,Ghost,Ice,Fairy,Flying,Grass,Ground,Ghost,Ice,Fairy,Flying,Grass,4 Great Tusk,0 Talonflame,1 Iron Bundle,8 Flutter Mane,7 Kingambit,4 Glimmora,0 Talonflame,1 Iron Bundle,4 Glimmora,4 Great Tusk,7 Kingambit,8 Flutter Mane,Talonflame,Ghost,Covert Cloak,Iron Bundle,Ice,Booster Energy,Glimmora,Grass,Choice Specs,Great Tusk,Ground,Focus Sash,Kingambit,Flying,Assault Vest,Flutter Mane,Fairy,Life Orb,,,,,,,,,Talonflame,Iron Bundle,Glimmora,Great Tusk,Kingambit,Flutter Mane,,"Great Tusk, Talonflame, Iron Bundle, Flutter Mane, Kingambit, Glimmora",,Aaron Banyard,336,Morgan Heitger,78,Anthony Kissoon,17,Lorenzo Arce,18,Giovanni Cischke,14,Dan Fitzpatrick,8,Nathan Ortiz,5,Kyle Livinghouse,2,Diego Gutierrez,2,Bhushan Thumsi,1
6,#4,Yes,9 - 1,9,1,USA,,Toler Webb,Toler Webb,,,Toler,dimsunlight,dimsunlight,https://twitter.com/dimsunlight,,,Sharp Beak,,,Covert Cloak,,,Life Orb,,,Assault Vest,,,Sitrus Berry,,,Booster Energy,100,$500,View,https://pokepast.es/26d7fc2955573a79,No EVs,-,https://twitter.com/Dimsunlight/status/1622336490394058752,Stream Round 6 (W),,,Flutter Mane,Great Tusk,Iron Bundle,Talonflame,Tyranitar,Gothitelle,,Booster Energy,Life Orb,Covert Cloak,Sharp Beak,Assault Vest,Sitrus Berry,,Steel,Ground,Ice,Ghost,Flying,Grass,Steel,Ground,Ice,Ghost,Flying,Grass,8 Flutter Mane,4 Great Tusk,1 Iron Bundle,0 Talonflame,4 Tyranitar,6 Gothitelle,0 Talonflame,1 Iron Bundle,4 Great Tusk,4 Tyranitar,6 Gothitelle,8 Flutter Mane,Talonflame,Ghost,Sharp Beak,Iron Bundle,Ice,Covert Cloak,Great Tusk,Ground,Life Orb,Tyranitar,Flying,Assault Vest,Gothitelle,Grass,Sitrus Berry,Flutter Mane,Steel,Booster Energy,,,,,,,,,Talonflame,Iron Bundle,Great Tusk,Tyranitar,Gothitelle,Flutter Mane,,"Flutter Mane, Great Tusk, Iron Bundle, Talonflame, Tyranitar, Gothitelle",,Alex Ortega,191,Stephen Mea,80,Javier Porras,15,Ian McLaughlin,21,Jonathan Quiñones,22,James Baek,11,Sebastian Guerrero,1,Anton Galkin,1,Bhushan Thumsi,1,Allan Martinez,4
7,#6,Yes,9 - 1,9,1,USA,,Carson Confer,Carson Confer,,,Carson,CarsonConfer,CarsonConfer,https://twitter.com/CarsonConfer,,,Leftovers,,,Focus Sash,,,Choice Band,,,Choice Specs,,,Booster Energy,,,Safety Goggles,100,$500,View,https://pokepast.es/00d8c018836cb6c4,No EVs,-,https://twitter.com/CarsonConfer/status/1622277700403568643,Stream Round 3B (L),,,Sylveon,Meowscarada,Dondozo,Flutter Mane,Tatsugiri-Stretchy,Gholdengo,,Safety Goggles,Choice Band,Leftovers,Booster Energy,Focus Sash,Choice Specs,,Fire,Dark,Dragon,Steel,Water,Steel,Fire,Dark,Dragon,Steel,Water,Steel,8 Sylveon,2 Meowscarada,1 Dondozo,8 Flutter Mane,1 Tatsugiri-Stretchy,7 Gholdengo,1 Dondozo,1 Tatsugiri-Stretchy,2 Meowscarada,7 Gholdengo,8 Flutter Mane,8 Sylveon,Dondozo,Dragon,Leftovers,Tatsugiri-Stretchy,Water,Focus Sash,Meowscarada,Dark,Choice Band,Gholdengo,Steel,Choice Specs,Flutter Mane,Steel,Booster Energy,Sylveon,Fire,Safety Goggles,,,,,,,,,Dondozo,Tatsugiri-Stretchy,Meowscarada,Gholdengo,Flutter Mane,Sylveon,,"Sylveon, Meowscarada, Dondozo, Flutter Mane, Tatsugiri-Stretchy, Gholdengo",,Jacob Jones,334,Samuel Temple,51,Angel Miranda,42,Melvin Concepcion,116,Andy Sheppard,40,Chuppa Cross,68,Kevin Sidonio,33,Ben Grissmer,17,Brady Smith,12,Austin Forcinito,7
8,#26,Yes,8 - 2,8,2,USA,,Brian Collins,Brian Collins,,,Angeló,angelohunter_,angelohunter_,https://twitter.com/angelohunter_,,,Life Orb,,,Lum Berry,,,Choice Specs,,,Sitrus Berry,,,Psychic Seed,,,Safety Goggles,100,$500,View,https://pokepast.es/d7275e19d4e15764,No EVs,https://youtu.be/oEZrEfPr9X8,https://twitter.com/angelohunter_/status/1626640839220031488,,Ax: Ireland for VR (played '21&'22 WCOP),,Indeedee-F,Dondozo,Iron Hands,Tatsugiri-Stretchy,Armarouge,Maushold,,Psychic Seed,Lum Berry,Sitrus Berry,Choice Specs,Life Orb,Safety Goggles,,Fairy,Steel,Grass,Steel,Grass,Ghost,Fairy,Steel,Grass,Steel,Grass,Ghost,5 Indeedee-F,1 Dondozo,4 Iron Hands,1 Tatsugiri-Stretchy,0 Armarouge,5 Maushold,0 Armarouge,1 Dondozo,1 Tatsugiri-Stretchy,4 Iron Hands,5 Indeedee-F,5 Maushold,Armarouge,Grass,Life Orb,Dondozo,Steel,Lum Berry,Tatsugiri-Stretchy,Steel,Choice Specs,Iron Hands,Grass,Sitrus Berry,Indeedee-F,Fairy,Psychic Seed,Maushold,Ghost,Safety Goggles,,,,,,,,,Armarouge,Dondozo,Tatsugiri-Stretchy,Iron Hands,Indeedee-F,Maushold,,"Indeedee-F (Indeedee-Female), Dondozo, Iron Hands, Tatsugiri-Stretchy, Armarouge, Maushold",,John Johnson,235,Gabriel Berrios,14,Jianzheng Huang,92,Joseph Ugarte,19,Chongjun Peng,12,Pedro Perez,38,Ryan Almeida,32,juan guzman,13,Austin Forcinito,10,Diego Gutierrez,33
