,VGCPastes Repository (Regulation E),,,,,,,,,,,,,,,,,,,Total Team Count:,,78,,,,,Total Creator Count: ,51,,,Teams with Rentals: ,51,,,,,,,,,,,,
,Click here to visit our Twitter for latest updates!,,,,,,,,,,,,,,,,,,,,,,,,,,DM us in Discord if Rental Code is not available anymore! ⬇︎,,,Source /,,Note: Most of the teams we find are from Twitter,,,,,,,,,,,,
Team ID,Team Description,,Full Name,,1,,,2,,,3,,,4,,,5,,,6,,,,Pokepaste,EVs,Extracted paste?,Rental Status,"Rental Code
(Click text for image)",Date Shared,Tournament / Event,Rank,Link to Source,Report / Video,Other Links,Owner,,Pokemon Text for Copypasta,,,,,,,Team ID
E78,Grant's Beastcoast Safari Zone Champion Team,,Grant Laird,,,,Mystic Water,,,Hearthflame Mask,,,Assault Vest,,,Focus Sash,,,Choice Specs,,,Booster Energy,,https://pokepast.es/cd9d667b0e9481e3,No,Extracted,X,None,1 Oct 2023,Beastcoast Safari Zone,Champion,https://x.com/zap_vgc/status/1708643285399376316?s=20,-,https://play.limitlesstcg.com/tournament/64ef7a9716713005e50024ac/standings,zap_vgc,,Urshifu-Rapid-Strike,Ogerpon,Rillaboom,Chien-Pao,Gholdengo,Roaring Moon,,E78
E77,TheKingVillager's Beastcoast Safari Zone Runner Up Team,,James Evans,,,,Choice Band,,,Leftovers,,,Assault Vest,,,Focus Sash,,,Choice Scarf,,,Safety Goggles,,https://pokepast.es/0d2b100d4ef07dc5,No,Extracted,X,None,1 Oct 2023,Beastcoast Safari Zone,Runner Up,https://x.com/TheKingVillager/status/1708625621696364633?s=20,-,https://play.limitlesstcg.com/tournament/64ef7a9716713005e50024ac/standings,TheKingVillager,,Arcanine-Hisui,Gastrodon,Iron Hands,Urshifu,Landorus-Therian,Cresselia,,E77
E76,Panda's Beastcoast Safari Zone Top 4 Team,,Justin Tang,,,,Booster Energy,,,Hearthflame Mask,,,Sitrus Berry,,,Assault Vest,,,Choice Scarf,,,Safety Goggles,,https://pokepast.es/f910c27360b11a8e,No,Extracted,X,None,1 Oct 2023,Beastcoast Safari Zone,Top 4,https://x.com/unironicpanda/status/1708861376372850995?s=20,-,https://play.limitlesstcg.com/tournament/64ef7a9716713005e50024ac/standings,unironicpanda,,Iron Bundle,Ogerpon,Rillaboom,Iron Hands,Landorus-Therian,Kingambit,,E76
E75,JoeUX9's Beastcoast Safari Zone Top 4 Team,,Joseph Ugarte,,,,Choice Band,,,Leftovers,,,Assault Vest,,,Focus Sash,,,Safety Goggles,,,Booster Energy,,https://pokepast.es/d3548449861c9522,No,Extracted,X,None,1 Oct 2023,Beastcoast Safari Zone,Top 4,https://x.com/JoeUX9/status/1708627738716692699?s=20,-,https://play.limitlesstcg.com/tournament/64ef7a9716713005e50024ac/standings,JoeUX9,,Arcanine-Hisui,Gastrodon,Iron Hands,Urshifu,Cresselia,Flutter Mane,,E75
E74,Brian's Beastcoast Safari Zone Top 8 Team,,Brian Youm,,,,Choice Specs,,,Wellspring Mask,,,Assault Vest,,,Choice Scarf,,,Dread Plate,,,Booster Energy,,https://pokepast.es/1940469c11cd584f,No,Extracted,X,None,1 Oct 2023,Beastcoast Safari Zone,Top 8,https://x.com/Playmaker708/status/1708648871423779157?s=20,-,https://play.limitlesstcg.com/tournament/64ef7a9716713005e50024ac/standings,Playmaker708,,Chi-Yu,Ogerpon,Iron Hands,Landorus-Therian,Kingambit,Flutter Mane,,E74
E73,Skraw's Beastcoast Safari Zone Top 8 Team,,Jacob Mortenson,,,,Booster Energy,,,Sitrus Berry,,,Hearthflame Mask,,,Assault Vest,,,Choice Scarf,,,Choice Specs,,https://pokepast.es/f8f5a9435a69fc5f,No,Extracted,X,None,1 Oct 2023,Beastcoast Safari Zone,Top 8,https://x.com/JacobSkraw/status/1708604726634254704?s=20,-,https://play.limitlesstcg.com/tournament/64ef7a9716713005e50024ac/standings,JacobSkraw,,Iron Bundle,Amoonguss,Ogerpon,Iron Hands,Landorus-Therian,Flutter Mane,,E73
E72,icebergvgc's Beastcoast Safari Zone Top 8 Team,,Luca Paz,,,,Sitrus Berry,,,Wellspring Mask,,,Focus Sash,,,Assault Vest,,,Choice Scarf,,,Choice Specs,,https://pokepast.es/6a4995ba2c33a766,No,Extracted,X,None,1 Oct 2023,Beastcoast Safari Zone,Top 8,No Tweet,-,https://play.limitlesstcg.com/tournament/64ef7a9716713005e50024ac/standings,icebergvgc,,Amoonguss,Ogerpon,Chien-Pao,Iron Hands,Landorus-Therian,Flutter Mane,,E72
E71,Lorcy's Beastcoast Safari Zone Top 8 Team,,Joshua Lorcy,,,,Sitrus Berry,,,Wellspring Mask,,,Assault Vest,,,Choice Scarf,,,Black Glasses,,,Booster Energy,,https://pokepast.es/b074a3751b0e30cd,No,Extracted,X,None,1 Oct 2023,Beastcoast Safari Zone,Top 8,https://x.com/lorcylovesyou/status/1708601087454781750?s=20,-,https://play.limitlesstcg.com/tournament/64ef7a9716713005e50024ac/standings,lorcylovesyou,,Chi-Yu,Ogerpon,Iron Hands,Landorus-Therian,Kingambit,Flutter Mane,,E71
