,San Diego Regionals,backend,,backend,backend,,,,,backend,backend,,"7-8 Jan 2023
531 players, 10 Swiss Rds, Top 32 Cut",backend,backend,Formula:,,Get Pokemon Stats!$C:$C,Get Pokemon Stats!$BW:$BW,Get Category SV!$Z:$Z,Get Category SV!$AA:$AA,,,,,,,,,,,,,,,Open Teamlists Link,,"Has
Image?",,,Stream Link,rk9 Labs ALL Open Team Lists: https://rk9.gg/roster/df5AzRjKxTb62H7BsbOe,rk9),"Backend STEP 1 - Extract Mons, Edit Pokemon input here",,,,,,"STEP 1.1 - Extract Tera, Edit Tera input here",,,,,,,"STEP 1.2 - Extract Items, Edit Item input here",,,,,,,,,,,,,STEP 2 & 3 - Sort and Arrange Mons,,,,,,,,,,,,Final Arrangement,,,,,,,,,,,,,,,,,,,VR Naming Convention,,,,,,,Pokemon Text Form (VGCPastes),,,,,,,For Discord Channel,,Opponents in Each Round,,,,,,,,,,,,,,,,,,,
Final Rank,Seed,D1 / D2,Swiss Record,Win,Loss,Country,C,Player,rk9 Labs Name,Romanised IGN,Name Notes,Gamer Tag,Twitter,Twitter Tag,LINK,,,,,,,,,,,,,,,,,,,CP,Prize,Pokepaste,EVs?,🖼,Team Report,Tweet,Stream Notes,Team/Source Notes,,Pokepaste Extract Input 1 - Pokemon,,Insert Paste!,San Diego Regionals Top 32 Team,,,Buffer,Pokepaste Extract Input 1 - Item,,,,,,Buffer,Pokepaste Extract Input 1 - Tera,,,,,,Update Primary Tera Type,,Get Pokemon Stats!$C:$C,Get Pokemon Stats!$H:$H,,,Source:,,Get Category SV!$B:$B,,,,Source:,,Get Category SV!$M:$M,,,,Final Pokemon 1,Tera,Final Item 1,Final Pokemon 2,Tera,Final Item 2,Final Pokemon 3,Tera,Final Item 3,Final Pokemon 4,Tera,Final Item 4,Final Pokemon 5,Tera,Final Item 5,Final Pokemon 6,Tera,Final Item 6,,Source:,,Get Category!$U:$U,,,,,,,,,,,,,,Round 1,Table No.,Round 2,Table No.,Round 3,Table No.,Round 4,Table No.,Round 5,Table No.,Round 6,Table No.,Round 7,Table No.,Round 8,Table No.,Round 9,Table No.,Round 10,Table No.
1,#11,,8 - 2,8,2,KOR,,Jiseok Lee,Jiseok Lee,,,282,MeLuCaVGC,MeLuCaVGC,https://twitter.com/MeLuCaVGC,,T,,,T,,,T,,,T,,,T,,,T,,200,"$3,000",https://pokepast.es/762a7dc9b02f248a,Yes,https://media.discordapp.net/attachments/1041626109680295966/1062403162276909146/San_Diego_Jiseok_Lee_C6221L.jpg,https://drive.google.com/file/d/1Rr_iBAhF-ZYomedkT6z_6j-FHPpVdS5i/view,https://twitter.com/MeLuCaVGC/status/1612270536218017794,,,,Garganacl,Baxcalibur,Mimikyu,Tauros-Paldea-Aqua,Meowscarada,Gholdengo,,,,,,,,,,,,,,,,,,,,,4 Garganacl,9 Baxcalibur,8 Mimikyu,1 Tauros-Paldea-Aqua,2 Meowscarada,7 Gholdengo,1 Tauros-Paldea-Aqua,2 Meowscarada,4 Garganacl,7 Gholdengo,8 Mimikyu,9 Baxcalibur,Tauros-Paldea-Aqua,,,Meowscarada,,,Garganacl,,,Gholdengo,,,Mimikyu,,,Baxcalibur,,,,,,,,,,,Tauros-Paldea-Aqua,Meowscarada,Garganacl,Gholdengo,Mimikyu,Baxcalibur,,"Garganacl, Baxcalibur, Mimikyu, Tauros-Paldea-Aqua, Meowscarada, Gholdengo",,Anthony Cornejo,146,Matthew Bopp,89,Rayad Khan,4,Gavin Michaels,1,Yichun Wu,11,Jourdan Bul-lalayao,5,Emilio Forbes,2,Chuppa Cross,7,Nick Navarre,16,Chalkey Horenstein,7
2,#8,,8 - 2,8,2,USA,,Chuppa Cross IV,Chuppa Cross,,,Chuppa*Cross,ChuppaVGC,ChuppaVGC,https://twitter.com/ChuppaVGC,,T,,,T,,,T,,,T,,,T,,,T,,160,"$2,000",https://pokepast.es/ba330b451faadb94,Yes,https://pbs.twimg.com/media/FmifhN4XoAMpYN4?format=jpg&name=large,https://youtu.be/cu8JeOGQM_4,https://twitter.com/ChuppaVGC/status/1612337845582299141,,,,Tatsugiri-Stretchy,Dondozo,Pawmot,Meowscarada,Arcanine,Gholdengo,,,,,,,,,,,,,,,,,,,,,1 Tatsugiri-Stretchy,1 Dondozo,3 Pawmot,2 Meowscarada,0 Arcanine,7 Gholdengo,0 Arcanine,1 Dondozo,1 Tatsugiri-Stretchy,2 Meowscarada,3 Pawmot,7 Gholdengo,Arcanine,,,Dondozo,,,Tatsugiri-Stretchy,,,Meowscarada,,,Pawmot,,,Gholdengo,,,,,,,,,,,Arcanine,Dondozo,Tatsugiri-Stretchy,Meowscarada,Pawmot,Gholdengo,,"Tatsugiri-Stretchy, Dondozo, Pawmot, Meowscarada, Arcanine, Gholdengo",,Heather Rysenga,92,Kevonne Boreland,78,Raghav Malaviya,35,Ian McLaughlin,83,Austin Acosta,56,Marco Martinez,25,Luhou Shen,8,Jiseok Lee,7,Dawei Si,7,Round 10,Drop
3,#4,,9 - 1,9,1,USA,,Jeudy Azzarelli,Jeudy Azzarelli,,,Jeudy,SoulSurVGC,SoulSurVGC,https://twitter.com/SoulSurVGC,,T,,,T,,,T,,,T,,,T,,,T,,130,"$1,000",https://pokepast.es/35fdb6ee19d4da71,Yes,https://pbs.twimg.com/media/FmJmraBWIAI3ff4?format=jpg&name=large,https://youtu.be/nhQ4O01nM54,https://twitter.com/SoulSurVGC/status/1612284590412169216,Round 9 (W),Cybertron video: https://youtu.be/I1VABxJbXiU VGCPastes Version: https://pokepast.es/5b22e6a4fa187e2a,,Gholdengo,Palafin,Amoonguss,Salamence,Pelipper,Kingambit,,,,,,,,,,,,,,,,,,,,,7 Gholdengo,1 Palafin,2 Amoonguss,9 Salamence,1 Pelipper,7 Kingambit,1 Palafin,1 Pelipper,2 Amoonguss,7 Gholdengo,7 Kingambit,9 Salamence,Palafin,,,Pelipper,,,Amoonguss,,,Gholdengo,,,Kingambit,,,Salamence,,,,,,,,,,,Palafin,Pelipper,Amoonguss,Gholdengo,Kingambit,Salamence,,"Gholdengo, Palafin, Amoonguss, Salamence, Pelipper, Kingambit",,Dominick Osler,181,Eli Knowlton,82,Andrew Ding,42,Zhen Han,100,Enosh Shachar,27,Jake Muller,37,Zishuo Ding,6,Scott Iwafuchi,12,James Evans,4,Aaron Brok,4
4,#18,,8 - 2,8,2,USA,,Aaron Brok,Aaron Brok,,,Aaron,Clipperz1235,Clipperz1235,https://twitter.com/Clipperz1235,,T,,,T,,,T,,,T,,,T,,,T,,130,"$1,000",https://pokepast.es/9c1c9325db152990,Yes,https://victoryroadvgc.com/wp-content/uploads/2023/01/Team-Aaron-Brok-1024x576.jpeg,https://victoryroadvgc.com/2023/01/26/aaron-brok-san-diego-report/,https://twitter.com/Clipperz1235/status/1612227980503420928,,,,Farigiraf,Meowscarada,Kingambit,Drednaw,Pelipper,Hariyama,,,,,,,,,,,,,,,,,,,,,6 Farigiraf,2 Meowscarada,7 Kingambit,1 Drednaw,1 Pelipper,4 Hariyama,1 Drednaw,1 Pelipper,2 Meowscarada,4 Hariyama,6 Farigiraf,7 Kingambit,Drednaw,,,Pelipper,,,Meowscarada,,,Hariyama,,,Farigiraf,,,Kingambit,,,,,,,,,,,Drednaw,Pelipper,Meowscarada,Hariyama,Farigiraf,Kingambit,,"Farigiraf, Meowscarada, Kingambit, Drednaw, Pelipper, Hariyama",,Marcus Dion,139,Lonness Valenna,94,Justin Carris,11,Cedric Bernier,16,Lou Cromie,6,Andrew Nowak,6,Sohaib Mufti,4,Juan Sandoval,8,Joseph Ugarte,10,Jeudy Azzarelli,4
5,#1,,10 - 0,10,0,USA,,Emilio Forbes,Emilio Forbes,,,Emily,gazemilyy,gazemilyy,https://twitter.com/gazemilyy,,T,,,T,,,T,,,T,,,T,,,T,,100,$500,https://pokepast.es/6686fdf1a44afa71,Yes,https://media.discordapp.net/attachments/1041626109680295966/1062402611829026856/San_Diego_Emilio_Forbes_LGHF91.jpg,-,https://twitter.com/gazemilyy/status/1612209874884263937,Round 5 (W),Ax: Twitter account is gazemilyy! (evan: thank you!),,Sylveon,Glimmora,Talonflame,Tatsugiri,Dondozo,Meowscarada,,,,,,,,,,,,,,,,,,,,,8 Sylveon,4 Glimmora,0 Talonflame,1 Tatsugiri,1 Dondozo,2 Meowscarada,0 Talonflame,1 Dondozo,1 Tatsugiri,2 Meowscarada,4 Glimmora,8 Sylveon,Talonflame,,,Dondozo,,,Tatsugiri,,,Meowscarada,,,Glimmora,,,Sylveon,,,,,,,,,,,Talonflame,Dondozo,Tatsugiri,Meowscarada,Glimmora,Sylveon,,"Sylveon, Glimmora, Talonflame, Tatsugiri, Dondozo, Meowscarada",,Tyler Alexander,101,Donald Smith,95,Jairo Contreras,41,Rob McNeilly,18,Collin Heier,17,Wolfe Glick,4,Jiseok Lee,2,Ryan Haig,2,Giovanni Costa,1,Angel Miranda,1
6,#7,,8 - 2,8,2,USA,,Giovanni Costa,Giovanni Costa,,,Gio™,the_one_gio,the_one_gio,https://twitter.com/the_one_gio,,T,,,T,,,T,,,T,,,T,,,T,,100,$500,https://pokepast.es/29c1d7a1cf4a34d4,No,-,-,-,Round 7 (W),,,Dragonite,Gholdengo,Talonflame,Gothitelle,Tauros-Paldea-Blaze,Meowscarada,,,,,,,,,,,,,,,,,,,,,9 Dragonite,7 Gholdengo,0 Talonflame,6 Gothitelle,0 Tauros-Paldea-Blaze,2 Meowscarada,0 Talonflame,0 Tauros-Paldea-Blaze,2 Meowscarada,6 Gothitelle,7 Gholdengo,9 Dragonite,Talonflame,,,Tauros-Paldea-Blaze,,,Meowscarada,,,Gothitelle,,,Gholdengo,,,Dragonite,,,,,,,,,,,Talonflame,Tauros-Paldea-Blaze,Meowscarada,Gothitelle,Gholdengo,Dragonite,,"Dragonite, Gholdengo, Talonflame, Gothitelle, Tauros-Paldea-Blaze, Meowscarada",,Edward Fan,173,Norah Bowman,1,Jose Vazquez,63,Chase Lybbert,33,William Marks,3,Juan Sandoval,7,Justin Burns,5,Sohaib Mufti,3,Emilio Forbes,1,Ryan Haig,3
7,#14,,8 - 2,8,2,USA,,James Evans,James Evans,,,James,TheKingVillager,TheKingVillager,https://twitter.com/TheKingVillager,,T,,,T,,,T,,,T,,,T,,,T,,100,$500,https://pokepast.es/94bc41c93ce2b2d3,Yes,-,https://youtu.be/JBsP0KyIbzo,https://twitter.com/TheKingVillager/status/1612179635638501376,Round 9,Rental Code: T5YYGD,,Hydreigon,Cetitan,Abomasnow,Tauros-Paldea-Aqua,Gothitelle,Rotom-Heat,,,,,,,,,,,,,,,,,,,,,9 Hydreigon,4 Cetitan,2 Abomasnow,1 Tauros-Paldea-Aqua,6 Gothitelle,0 Rotom-Heat,0 Rotom-Heat,1 Tauros-Paldea-Aqua,2 Abomasnow,4 Cetitan,6 Gothitelle,9 Hydreigon,Rotom-Heat,,,Tauros-Paldea-Aqua,,,Abomasnow,,,Cetitan,,,Gothitelle,,,Hydreigon,,,,,,,,,,,Rotom-Heat,Tauros-Paldea-Aqua,Abomasnow,Cetitan,Gothitelle,Hydreigon,,"Hydreigon, Cetitan, Abomasnow, Tauros-Paldea-Aqua, Gothitelle, Rotom-Heat",,Keene Yang,213,Patrick Donegan,60,Aaron Riker,1,Brady Smith,9,Kazi Rahman,47,Neil Patel,49,Raghav Malaviya,27,Christian Ramirez,18,Jeudy Azzarelli,4,Brandon Wright,18
8,#21,,8 - 2,8,2,USA,,Giovanni Cischke,Giovanni Cischke,,,PqlarBear,PqlarBear,PqlarBear,https://twitter.com/PqlarBear,,T,,,T,,,T,,,T,,,T,,,T,,100,$500,https://pokepast.es/7a196c41943e3ac9,No,-,-,https://twitter.com/PqlarBear/status/1612527199411658776,,,,Meowscarada,Mimikyu,Garganacl,Gholdengo,Tauros-Paldea-Aqua,Baxcalibur,,,,,,,,,,,,,,,,,,,,,2 Meowscarada,8 Mimikyu,4 Garganacl,7 Gholdengo,1 Tauros-Paldea-Aqua,9 Baxcalibur,1 Tauros-Paldea-Aqua,2 Meowscarada,4 Garganacl,7 Gholdengo,8 Mimikyu,9 Baxcalibur,Tauros-Paldea-Aqua,,,Meowscarada,,,Garganacl,,,Gholdengo,,,Mimikyu,,,Baxcalibur,,,,,,,,,,,Tauros-Paldea-Aqua,Meowscarada,Garganacl,Gholdengo,Mimikyu,Baxcalibur,,"Meowscarada, Mimikyu, Garganacl, Gholdengo, Tauros-Paldea-Aqua, Baxcalibur",,Gabrielle Harbaugh,143,Aaron Wegter,55,Zach Carlson,33,Brady Trinh,49,Grayson DeWolfe,72,Ian O'Connor,51,Lou Cromie,17,Logan Castro,13,Gavin Michaels,3,Zishuo Ding,13
9,#3,,9 - 1,9,1,USA,,Gavin Michaels,Gavin Michaels,,,HUH?!!,komvgc,komvgc,https://twitter.com/komvgc,,T,,,T,,,T,,,T,,,T,,,T,,80,$250,https://pokepast.es/984b191186d55131,Yes,https://media.discordapp.net/attachments/909131797890236446/1064973709317775470/San_Diego_Gavin_Michaels_T6CT1F.jpg,https://youtu.be/e9VALcniiQc,https://twitter.com/adisubra/status/1615392337622110209,Round 8 (W),,,Amoonguss,Kingambit,Gholdengo,Pelipper,Palafin,Dragonite,,,,,,,,,,,,,,,,,,,,,2 Amoonguss,7 Kingambit,7 Gholdengo,1 Pelipper,1 Palafin,9 Dragonite,1 Palafin,1 Pelipper,2 Amoonguss,7 Gholdengo,7 Kingambit,9 Dragonite,Palafin,,,Pelipper,,,Amoonguss,,,Gholdengo,,,Kingambit,,,Dragonite,,,,,,,,,,,Palafin,Pelipper,Amoonguss,Gholdengo,Kingambit,Dragonite,,"Amoonguss, Kingambit, Gholdengo, Pelipper, Palafin, Dragonite",,Maura Hazen,42,Chad Smeltz,130,Shawn Tang,18,Jiseok Lee,1,Baris Akcos,48,John Mills,28,Donald Smith,21,Joseph Ugarte,15,Giovanni Cischke,3,Chuppa Cross IV,5
