,backend,backend,July SV Ranked Battles Top 100 Teams,backend,backend,,,,,backend,backend,,,backend,backend,,,,,,Current Format: Regulation D (August),,,,,,,,,,,,Liberty Note Link,,,,,"Has
Image?",,,,,,"Backend STEP 1 - Extract Mons, Edit Pokemon input here",,,,,,"STEP 1.1 - Extract Tera, Edit Tera input here",,,,,,,"STEP 1.2 - Extract Items, Edit Item input here",,,,,,,,,,,,,STEP 2 & 3 - Sort and Arrange Mons,,,,,,,,,,,,Backend Final Arrangement,,,,,,,,,,,,,,,,,,,VR Naming Convention,,,,,,,Pokemon Text Form for Copy Pasta,,,,,,,For Discord Channel
Rank,Seed,D1 / D2,Rating,Win,Loss,Country,C,Player,Full Name,Ethnic Name,Name Notes,IGN,Twitter,Twitter Tag,LINK,,,,,,,,,,,,,,,,,,,CP,Prize,Poképaste,EVs?,Link,Team Report,Tweet,Rental Code,Team/Source Notes,,Pokepaste Extract Input 1 - Pokemon,,Insert Paste!,,,,Buffer,Pokepaste Extract Input 1 - Item,,,,,,Buffer,Pokepaste Extract Input 1 - Tera,,,,,,Update Primary Tera Type,,Get Pokemon Stats!$C:$C,Get Pokemon Stats!$H:$H,,,Source:,,Get Category SV!$B:$B,,,,Source:,,Get Category SV!$M:$M,,,,Final Pokemon 1,Tera,Final Item 1,Final Pokemon 2,Tera,Final Item 2,Final Pokemon 3,Tera,Final Item 3,Final Pokemon 4,Tera,Final Item 4,Final Pokemon 5,Tera,Final Item 5,Final Pokemon 6,Tera,Final Item 6,,Source:,,Get Category!$U:$U,,,,,,,,,,,,
"July, Regulation D",,,,,,,,,,"October, Series 13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
1,,,2105,,,JPN,,UB_SLOW,Kaito Arii,,,ナーク,UB_SLOW,UB_SLOW,https://twitter.com/UB_SLOW,,,,,,,,,,,,,,,,,,,,,,,,,https://twitter.com/UB_SLOW/status/1686209074797453312?s=20,,,,Iron Hands,Amoonguss,,,,,,,,,,,,,,,,,,,,,,,,,5 Iron Hands,3 Amoonguss,-,-,-,-,-,-,-,-,3 Amoonguss,5 Iron Hands,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,Amoonguss,,,Iron Hands,,,,,,,,,,,-,-,-,-,Amoonguss,Iron Hands,,"Iron Hands, Amoonguss"
2,,,2081,,,JPN,,スカーレット,-,,,スカーレット,,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
3,,,2065,,,JPN,,yunuponnu,Fumiaki Suwa,,,おゆん,yunuponnu,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,https://twitter.com/yunuponnu/status/1686281834664284160?s=20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
4,,,2058,,,JPN,,スカーレット,feb_po,,,スカーレット,feb_po,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,https://twitter.com/feb_po/status/1686275420956786688?s=20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
5,,,2057,,,JPN,,まろん,maron_itf,,,まろん,maron_itf,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,https://twitter.com/maron_itf/status/1686186682276802560?s=20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
6,,,2054,,,JPN,,SHUSUKE,SHUSUKE,,,スカーレット,shu_poke0412,Link,https://twitter.com/Link,,,Life Orb,,,Figy Berry,,,Choice Scarf,,,Focus Sash,,,Choice Band,,,Choice Specs,,,https://pokepast.es/fab32b84cc058646,Yes,,https://sw20010412.hatenablog.com/entry/2023/08/01/104016,https://twitter.com/shu_poke0412/status/1686191845083377665?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,B3W2XH,,,Dondozo,Heatran,Lycanroc,Tyranitar,Tatsugiri-Stretchy,Sylveon,,Figy Berry,Life Orb,Focus Sash,Choice Band,Choice Scarf,Choice Specs,,Ghost,Grass,Ghost,Flying,Water,Water,Ghost,Grass,Ghost,Flying,Water,Water,2 Dondozo,1 Heatran,5 Lycanroc,5 Tyranitar,2 Tatsugiri-Stretchy,9 Sylveon,1 Heatran,2 Dondozo,2 Tatsugiri-Stretchy,5 Lycanroc,5 Tyranitar,9 Sylveon,Heatran,Grass,Life Orb,Dondozo,Ghost,Figy Berry,Tatsugiri-Stretchy,Water,Choice Scarf,Lycanroc,Ghost,Focus Sash,Tyranitar,Flying,Choice Band,Sylveon,Water,Choice Specs,,,,,,,,,Heatran,Dondozo,Tatsugiri-Stretchy,Lycanroc,Tyranitar,Sylveon,,"Dondozo, Heatran, Lycanroc, Tyranitar, Tatsugiri-Stretchy, Sylveon"
7,,,2053,,,JPN,,Ren,Ren Kotorii,,,オレンジ,LonPhop,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,https://twitter.com/LonPhop/status/1686224260380102657?s=20,,,,Flutter Mane,Urshifu,Farigiraf,Landorus,Arcanine-Hisui,Torkoal,,,,,,,,,Ghost,Fighting,Normal,Ground,Fire,Fire,Ghost,Fighting,Normal,Ground,Fire,Fire,8 Flutter Mane,4 Urshifu,6 Farigiraf,4 Landorus,0 Arcanine-Hisui,0 Torkoal,0 Arcanine-Hisui,0 Torkoal,4 Landorus,4 Urshifu,6 Farigiraf,8 Flutter Mane,Arcanine-Hisui,Fire,,Torkoal,Fire,,Landorus,Ground,,Urshifu,Fighting,,Farigiraf,Normal,,Flutter Mane,Ghost,,,,,,,,,,Arcanine-Hisui,Torkoal,Landorus,Urshifu,Farigiraf,Flutter Mane,,"Flutter Mane, Urshifu, Farigiraf, Landorus, Arcanine-Hisui, Torkoal"
8,,,2050,,,JPN,,yunuponnu,Fumiaki Suwa,,,ゆヌ,yunuponnu,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,https://twitter.com/yunuponnu/status/1686281834664284160?s=20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
9,,,2047,,,JPN,,akiakaba,Takumi Souma,,,アカバ,akiakaba,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,https://twitter.com/akiakaba/status/1686200403023785984?s=20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
10,,,2046,,,JPN,,SHUSUKE,SHUSUKE,,,バイオレット,shu_poke0412,Link,https://twitter.com/Link,,,Life Orb,,,Figy Berry,,,Choice Scarf,,,Focus Sash,,,Choice Band,,,Choice Specs,,,https://pokepast.es/fab32b84cc058646,Yes,,https://sw20010412.hatenablog.com/entry/2023/08/01/104016,https://twitter.com/shu_poke0412/status/1686191845083377665?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,B3W2XH,,,Dondozo,Heatran,Lycanroc,Tyranitar,Tatsugiri-Stretchy,Sylveon,,Figy Berry,Life Orb,Focus Sash,Choice Band,Choice Scarf,Choice Specs,,Ghost,Grass,Ghost,Flying,Water,Water,Ghost,Grass,Ghost,Flying,Water,Water,2 Dondozo,1 Heatran,5 Lycanroc,5 Tyranitar,2 Tatsugiri-Stretchy,9 Sylveon,1 Heatran,2 Dondozo,2 Tatsugiri-Stretchy,5 Lycanroc,5 Tyranitar,9 Sylveon,Heatran,Grass,Life Orb,Dondozo,Ghost,Figy Berry,Tatsugiri-Stretchy,Water,Choice Scarf,Lycanroc,Ghost,Focus Sash,Tyranitar,Flying,Choice Band,Sylveon,Water,Choice Specs,,,,,,,,,Heatran,Dondozo,Tatsugiri-Stretchy,Lycanroc,Tyranitar,Sylveon,,"Dondozo, Heatran, Lycanroc, Tyranitar, Tatsugiri-Stretchy, Sylveon"
11,,,2033,,,JPN,,syokora,syokora,,,S.REM,syokoractvdd,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,https://twitter.com/syokoractvdd/status/1686219405607489536?s=20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
